Index,CRACMM_RO2,Description,Specific Precursor or Category,General Precursor or Category,Notes
33,SESQNRO2,Peroxy radicals from SESQ (Sesquiterpenes) reaction with nitrate radicals,Sesquiterpenes,Terpenes,
34,SESQRO2,Peroxy radicals from SESQ (Sesquiterpenes) reaction with OH,Sesquiterpenes,Terpenes,
35,VROCP6ALKP,Peroxy radicals from ROCP6ALK (Alkane-like ROC species with C* of 10<sup>+6</sup> &#956;g m<sup>-3</sup>) oxidation,,Alkanes,
36,VROCP5ALKP,Peroxy radicals from ROCP5ALK (Alkane-like ROC species with C* of 10<sup>+5</sup> &#956;g m<sup>-3</sup>) oxidation,,Alkanes,
37,VROCP4ALKP,Peroxy radicals from ROCP4ALK (Alkane-like ROC species with C* of 10<sup>+4</sup> &#956;g m<sup>-3</sup>) oxidation,,Alkanes,
38,VROCP3ALKP,Peroxy radicals from ROCP3ALK (Alkane-like ROC species with C* of 10<sup>+3</sup> &#956;g m<sup>-3</sup>) oxidation,,Alkanes,
39,VROCP2ALKP,Peroxy radicals from ROCP2ALK (Alkane-like ROC species with C* of 10<sup>+2</sup> &#956;g m<sup>-3</sup>) oxidation,,Alkanes,
40,VROCP1ALKP,Peroxy radicals from ROCP1ALK (Alkane-like ROC species with C* of 10 &#956;g m<sup>-3</sup>) oxidation,,Alkanes,
41,HC10P,Peroxy radicals formed from HC10 (Alkanes and other species with HO rate constant greater than 6.8x10<sup>-12</sup> cm<sup>3</sup> s<sup>-1</sup>),,Alkanes,
42,VROCP6ALKP2,Hydroxy peroxy radicals from ROCP6ALK (Alkane-like ROC species with C* of 10<sup>+6</sup> &#956;g m<sup>-3</sup>) alkoxy product,,Alkanes,
43,VROCP5ALKP2,Hydroxy peroxy radicals from ROCP5ALK (Alkane-like ROC species with C* of 10<sup>+5</sup> &#956;g m<sup>-3</sup>) alkoxy product,,Alkanes,
44,VROCP4ALKP2,Hydroxy peroxy radicals from ROCP4ALK (Alkane-like ROC species with C* of 10<sup>+4</sup> &#956;g m<sup>-3</sup>) alkoxy product,,Alkanes,
45,VROCP3ALKP2,Hydroxy peroxy radicals from ROCP3ALK (Alkane-like ROC species with C* of 10<sup>+3</sup> &#956;g m<sup>-3</sup>) alkoxy product,,Alkanes,
46,VROCP2ALKP2,Hydroxy peroxy radicals from ROCP2ALK (Alkane-like ROC species with C* of 10<sup>+2</sup> &#956;g m<sup>-3</sup>) alkoxy product,,Alkanes,
47,VROCP1ALKP2,Hydroxy peroxy radicals from ROCP1ALK (Alkane-like ROC species with C* of 10 &#956;g m<sup>-3</sup>) alkoxy product,,Alkanes,
48,HC10P2,Hydroxy peroxy radicals from HC10P (Peroxy radicals formed from HC10 (Alkanes and other species with HO rate constant greater than 6.8x10<sup>-12</sup> cm<sup>3</sup> s<sup>-1</sup>)) alkoxy product ,,Alkanes,
49,VROCP6AROP,Peroxy radicals from ROCP6ARO (Aromatic ROC species with C* of 10<sup>+6</sup> &#956;g m<sup>-3</sup>) oxidation,,Aromatics,
50,VROCP5AROP,Peroxy radicals from ROCP5ARO (Aromatic ROC species with C* of 10<sup>+5</sup> &#956;g m<sup>-3</sup>) oxidation,,Aromatics,
51,NAPHP,Peroxy radicals formed from NAPH (naphthalene),Naphthalene,Aromatics,
52,STYP,Peroxy radicals from STY (Styrene),Styrene,Aromatics,
