site,interval,DATE,Month,Day,Hour,Minute,H2CO,H2CO_30s,H2CO_2min,H2CO_5min,H2O,CH4,NumberOfSecondsInAvg,PhilZero,H2CO_Phil_Zeroes,CH4_Zeros,H2CO_Zero,dt_str,dt,dt_zeroes,H2CO_Values,CH4_Values,H2CO_Zero_Calc,Interpolated_H2CO_Zeroes,H2CO_Corrected
HW,001m,2024-07-15,07,15,00,17,2.157179974,2.191789117,2.341860511,2.43662359,1.108348693,1.926679469,57,FALSE,,FALSE,,2024-07-15 00:17,2024-07-15 00:17:00,,2.157179974,1.926679469,,0.052133305,2.105046669
HW,001m,2024-07-15,07,15,00,18,2.606401121,2.530294195,2.317565623,2.45330883,1.121159351,1.92649998,56,FALSE,,FALSE,,2024-07-15 00:18,2024-07-15 00:18:00,,2.606401121,1.92649998,,0.053301995,2.553099125
HW,001m,2024-07-15,07,15,00,19,2.345900076,2.39494193,2.403685806,2.466167945,1.094179722,1.927371621,57,FALSE,,FALSE,,2024-07-15 00:19,2024-07-15 00:19:00,,2.345900076,1.927371621,,0.054470685,2.291429391
HW,001m,2024-07-15,07,15,00,20,2.452452889,2.421773817,2.408624836,2.371059718,1.113672857,1.927730031,56,FALSE,,FALSE,,2024-07-15 00:20,2024-07-15 00:20:00,,2.452452889,1.927730031,,0.055639375,2.396813513
HW,001m,2024-07-15,07,15,00,21,2.450432354,2.495152457,2.442911614,2.394858414,1.171438934,1.929000312,56,FALSE,,FALSE,,2024-07-15 00:21,2024-07-15 00:21:00,,2.450432354,1.929000312,,0.056808066,2.393624288
HW,001m,2024-07-15,07,15,00,22,2.448412292,2.409284886,2.482767947,2.426666227,1.12725057,1.92760496,56,FALSE,,FALSE,,2024-07-15 00:22,2024-07-15 00:22:00,,2.448412292,1.92760496,,0.057976756,2.390435536
HW,001m,2024-07-15,07,15,00,23,2.952782819,3.021407894,2.631985616,2.520900768,1.16326736,1.928583728,56,FALSE,,FALSE,,2024-07-15 00:23,2024-07-15 00:23:00,,2.952782819,1.928583728,,0.059145446,2.893637373
HW,001m,2024-07-15,07,15,00,24,2.46159973,2.446182462,2.721176096,2.553513554,1.075581969,1.925068517,56,FALSE,,FALSE,,2024-07-15 00:24,2024-07-15 00:24:00,,2.46159973,1.925068517,,0.060314136,2.401285594
HW,001m,2024-07-15,07,15,00,25,2.380769102,2.412203296,2.5350532,2.571322666,1.075333113,1.926731434,55,FALSE,,FALSE,,2024-07-15 00:25,2024-07-15 00:25:00,,2.380769102,1.926731434,,0.061482826,2.319286276
HW,001m,2024-07-15,07,15,00,26,1.983987583,1.988659646,2.237014647,2.470848136,1.044488711,1.925258422,57,FALSE,,FALSE,,2024-07-15 00:26,2024-07-15 00:26:00,,1.983987583,1.925258422,,0.062651516,1.921336067
HW,001m,2024-07-15,07,15,00,27,2.078473714,2.066045739,2.060016249,2.399795788,1.064734806,1.929206072,57,FALSE,,FALSE,,2024-07-15 00:27,2024-07-15 00:27:00,,2.078473714,1.929206072,,0.063820206,2.014653508
HW,001m,2024-07-15,07,15,00,28,2.550052782,2.520585971,2.22989393,2.310026865,1.080318792,1.930018984,56,FALSE,,FALSE,,2024-07-15 00:28,2024-07-15 00:28:00,,2.550052782,1.930018984,,0.064988896,2.485063886
HW,001m,2024-07-15,07,15,00,29,2.482247144,2.446338435,2.434505522,2.286272104,1.093932978,1.927175897,57,FALSE,,FALSE,,2024-07-15 00:29,2024-07-15 00:29:00,,2.482247144,1.927175897,,0.066157586,2.416089558
HW,001m,2024-07-15,07,15,00,30,2.386682525,2.437874187,2.467350395,2.283704175,1.108365052,1.930450113,56,FALSE,,FALSE,,2024-07-15 00:30,2024-07-15 00:30:00,,2.386682525,1.930450113,,0.067326276,2.319356249
HW,001m,2024-07-15,07,15,00,31,2.817277328,2.563664963,2.457198435,2.374418838,1.172493474,1.927739981,56,FALSE,,FALSE,,2024-07-15 00:31,2024-07-15 00:31:00,,2.817277328,1.927739981,,0.068494966,2.748782361
HW,001m,2024-07-15,07,15,00,32,2.329681764,2.524639218,2.559809233,2.484291847,1.125726155,1.930763263,56,FALSE,,FALSE,,2024-07-15 00:32,2024-07-15 00:32:00,,2.329681764,1.930763263,,0.069663656,2.260018107
HW,001m,2024-07-15,07,15,00,33,2.230357116,2.261066201,2.468384103,2.469409666,1.148850148,1.928659831,57,FALSE,,FALSE,,2024-07-15 00:33,2024-07-15 00:33:00,,2.230357116,1.928659831,,0.070832346,2.15952477
HW,001m,2024-07-15,07,15,00,34,2.37362825,2.331342418,2.294718483,2.428859628,1.143154506,1.931182665,57,FALSE,,FALSE,,2024-07-15 00:34,2024-07-15 00:34:00,,2.37362825,1.931182665,,0.072001036,2.301627213
HW,001m,2024-07-15,07,15,00,35,2.828344514,2.8031435,2.487742154,2.477260798,1.121547203,1.929047722,55,FALSE,,FALSE,,2024-07-15 00:35,2024-07-15 00:35:00,,2.828344514,1.929047722,,0.073169726,2.755174788
HW,001m,2024-07-15,07,15,00,36,2.125316404,2.225030429,2.527129427,2.457833142,1.080326691,1.928528584,57,FALSE,,FALSE,,2024-07-15 00:36,2024-07-15 00:36:00,,2.125316404,1.928528584,,0.074338417,2.050977987
HW,001m,2024-07-15,07,15,00,37,2.283396125,2.187390153,2.270725846,2.360635122,1.07772155,1.929280647,57,FALSE,,FALSE,,2024-07-15 00:37,2024-07-15 00:37:00,,2.283396125,1.929280647,,0.075507107,2.207889018
HW,001m,2024-07-15,07,15,00,38,2.64657954,2.626070328,2.351364947,2.411314604,1.146877477,1.928196007,56,FALSE,,FALSE,,2024-07-15 00:38,2024-07-15 00:38:00,,2.64657954,1.928196007,,0.076675797,2.569903743
HW,001m,2024-07-15,07,15,00,39,2.409477213,2.479050918,2.543414835,2.460862263,1.129411289,1.926855437,56,FALSE,,FALSE,,2024-07-15 00:39,2024-07-15 00:39:00,,2.409477213,1.926855437,,0.077844487,2.331632726
HW,001m,2024-07-15,07,15,00,40,2.769262558,2.628744826,2.53357591,2.429579707,1.146102991,1.92808258,56,FALSE,,FALSE,,2024-07-15 00:40,2024-07-15 00:40:00,,2.769262558,1.92808258,,0.079013177,2.690249381
HW,001m,2024-07-15,07,15,00,41,2.892779717,2.857887663,2.698901524,2.528944008,1.210648188,1.928837928,56,FALSE,,FALSE,,2024-07-15 00:41,2024-07-15 00:41:00,,2.892779717,1.928837928,,0.080181867,2.81259785
HW,001m,2024-07-15,07,15,00,42,2.624525057,2.746727053,2.826683165,2.650013635,1.166895174,1.930423461,56,FALSE,,FALSE,,2024-07-15 00:42,2024-07-15 00:42:00,,2.624525057,1.930423461,,0.081350557,2.5431745
HW,001m,2024-07-15,07,15,00,43,2.864294492,2.852059238,2.794091108,2.706994643,1.155470671,1.932593331,57,FALSE,,FALSE,,2024-07-15 00:43,2024-07-15 00:43:00,,2.864294492,1.932593331,,0.082519247,2.781775245
HW,001m,2024-07-15,07,15,00,44,2.966277477,2.899209316,2.819485109,2.761361443,1.185661886,1.930374558,56,FALSE,,FALSE,,2024-07-15 00:44,2024-07-15 00:44:00,,2.966277477,1.930374558,,0.083687937,2.88258954
HW,001m,2024-07-15,07,15,00,45,2.544288504,2.684006018,2.806847251,2.817033443,1.14944314,1.932442911,55,FALSE,,FALSE,,2024-07-15 00:45,2024-07-15 00:45:00,,2.544288504,1.932442911,,0.084856627,2.459431877
HW,001m,2024-07-15,07,15,00,46,2.727219107,2.67812114,2.700746634,2.761922897,1.170744563,1.931037279,56,FALSE,,FALSE,,2024-07-15 00:46,2024-07-15 00:46:00,,2.727219107,1.931037279,,0.086025317,2.64119379
HW,001m,2024-07-15,07,15,00,47,2.766346502,2.857393036,2.7471317,2.785791593,1.173136856,1.930972907,56,FALSE,,FALSE,,2024-07-15 00:47,2024-07-15 00:47:00,,2.766346502,1.930972907,,0.087194007,2.679152495
HW,001m,2024-07-15,07,15,00,48,2.826441759,2.737819397,2.797746545,2.763576883,1.12307727,1.930505818,56,FALSE,,FALSE,,2024-07-15 00:48,2024-07-15 00:48:00,,2.826441759,1.930505818,,0.088362697,2.738079062
HW,001m,2024-07-15,07,15,00,49,2.562295871,2.624434165,2.693480019,2.735172649,1.124533155,1.929122691,57,FALSE,,FALSE,,2024-07-15 00:49,2024-07-15 00:49:00,,2.562295871,1.929122691,,0.089531387,2.472764484
HW,001m,2024-07-15,07,15,00,50,2.405515826,2.393187255,2.575488428,2.669690681,1.085084397,1.930251948,57,FALSE,,FALSE,,2024-07-15 00:50,2024-07-15 00:50:00,,2.405515826,1.930251948,,0.090700077,2.314815749
HW,001m,2024-07-15,07,15,00,51,2.301395636,2.366676605,2.435286917,2.628001558,1.092813982,1.92922878,56,FALSE,,FALSE,,2024-07-15 00:51,2024-07-15 00:51:00,,2.301395636,1.92922878,,0.091868768,2.209526868
HW,001m,2024-07-15,07,15,00,52,2.61443914,2.443033072,2.36990366,2.519963117,1.157823974,1.928145638,56,FALSE,,FALSE,,2024-07-15 00:52,2024-07-15 00:52:00,,2.61443914,1.928145638,,0.093037458,2.521401683
HW,001m,2024-07-15,07,15,00,53,2.579344503,2.694449075,2.509305122,2.514213753,1.159016652,1.929498017,57,FALSE,,FALSE,,2024-07-15 00:53,2024-07-15 00:53:00,,2.579344503,1.929498017,,0.094206148,2.485138356
HW,001m,2024-07-15,07,15,00,54,3.076710399,2.962202747,2.768421789,2.54942527,1.194717517,1.928830042,55,FALSE,,FALSE,,2024-07-15 00:54,2024-07-15 00:54:00,,3.076710399,1.928830042,,0.095374838,2.981335561
HW,001m,2024-07-15,07,15,00,56,0.072548404,0.096209106,1.359753529,2.112878945,0.051485344,0.00275739,57,TRUE,0.072548404,TRUE,0.072548404,2024-07-15 00:56,2024-07-15 00:56:00,2024-07-15 00:56,,,0.096543528,0.096543528,
HW,001m,2024-07-15,07,15,00,57,0.059352136,0.014648982,0.190103502,1.647199733,0.049951787,0.002087379,58,TRUE,0.059352136,TRUE,0.059352136,2024-07-15 00:57,2024-07-15 00:57:00,2024-07-15 00:57,,,0.096543528,0.096543528,
HW,001m,2024-07-15,07,15,00,58,0.227761821,0.166514751,0.076339481,1.13636108,0.049195736,0.002211069,57,TRUE,0.227761821,TRUE,0.227761821,2024-07-15 00:58,2024-07-15 00:58:00,2024-07-15 00:58,,,0.096543528,0.096543528,
HW,001m,2024-07-15,07,15,00,59,-0.034674765,0.074863832,0.116846764,0.595303087,0.048631345,0.002477711,58,TRUE,-0.034674765,TRUE,-0.034674765,2024-07-15 00:59,2024-07-15 00:59:00,2024-07-15 00:59,,,0.096543528,0.096543528,
HW,001m,2024-07-15,07,15,01,00,0.170610911,0.137876701,0.111827073,0.144492495,0.048060675,-0.000792728,57,TRUE,0.170610911,TRUE,0.170610911,2024-07-15 01:00,2024-07-15 01:00:00,2024-07-15 01:00,,,0.096543528,0.096543528,
HW,001m,2024-07-15,07,15,01,02,2.546050457,2.651286957,1.329838303,0.596015972,1.119166472,1.93123506,55,FALSE,,FALSE,,2024-07-15 01:02,2024-07-15 01:02:00,,2.546050457,1.93123506,,0.099998678,2.446051779
HW,001m,2024-07-15,07,15,01,03,2.431161865,2.465835646,2.392824223,1.06070719,1.116323396,1.928941439,57,FALSE,,FALSE,,2024-07-15 01:03,2024-07-15 01:03:00,,2.431161865,1.928941439,,0.103453828,2.327708037
HW,001m,2024-07-15,07,15,01,04,2.299073157,2.26332844,2.418564721,1.511443937,1.077624554,1.928572273,56,FALSE,,FALSE,,2024-07-15 01:04,2024-07-15 01:04:00,,2.299073157,1.928572273,,0.106908978,2.192164178
HW,001m,2024-07-15,07,15,01,05,2.643024129,2.55354663,2.3962523,1.986191909,1.139843129,1.929762889,57,FALSE,,FALSE,,2024-07-15 01:05,2024-07-15 01:05:00,,2.643024129,1.929762889,,0.110364129,2.532660001
HW,001m,2024-07-15,07,15,01,06,2.437846549,2.462979582,2.463538021,2.414399385,1.134086374,1.928393396,56,FALSE,,FALSE,,2024-07-15 01:06,2024-07-15 01:06:00,,2.437846549,1.928393396,,0.113819279,2.324027271
HW,001m,2024-07-15,07,15,01,07,2.619136353,2.569581849,2.516333134,2.46166616,1.186747802,1.929209055,56,FALSE,,FALSE,,2024-07-15 01:07,2024-07-15 01:07:00,,2.619136353,1.929209055,,0.117274429,2.501861924
HW,001m,2024-07-15,07,15,01,08,2.561417882,2.635354965,2.580711373,2.488275909,1.19923841,1.929934835,57,FALSE,,FALSE,,2024-07-15 01:08,2024-07-15 01:08:00,,2.561417882,1.929934835,,0.120729579,2.440688303
HW,001m,2024-07-15,07,15,01,09,2.777087799,2.68609045,2.644723226,2.552579788,1.144251809,1.928728161,56,FALSE,,FALSE,,2024-07-15 01:09,2024-07-15 01:09:00,,2.777087799,1.928728161,,0.124184729,2.652903069
HW,001m,2024-07-15,07,15,01,10,2.480747688,2.549190938,2.64796269,2.589110745,1.153208031,1.927284304,56,FALSE,,FALSE,,2024-07-15 01:10,2024-07-15 01:10:00,,2.480747688,1.927284304,,0.127639879,2.353107809
HW,001m,2024-07-15,07,15,01,11,2.278061851,2.339987549,2.509706905,2.571349576,1.091250093,1.931468093,56,FALSE,,FALSE,,2024-07-15 01:11,2024-07-15 01:11:00,,2.278061851,1.931468093,,0.13109503,2.146966821
HW,001m,2024-07-15,07,15,01,12,2.144234057,2.055768316,2.253068221,2.484196845,1.039372995,1.927891992,56,FALSE,,FALSE,,2024-07-15 01:12,2024-07-15 01:12:00,,2.144234057,1.927891992,,0.13455018,2.009683878
HW,001m,2024-07-15,07,15,01,13,2.269387735,2.314109739,2.186752553,2.413439652,1.058210292,1.929562192,56,FALSE,,FALSE,,2024-07-15 01:13,2024-07-15 01:13:00,,2.269387735,1.929562192,,0.13800533,2.131382405
HW,001m,2024-07-15,07,15,01,14,2.049198171,2.126701178,2.220410938,2.316019612,1.078566056,1.928934543,56,FALSE,,FALSE,,2024-07-15 01:14,2024-07-15 01:14:00,,2.049198171,1.928934543,,0.14146048,1.907737691
HW,001m,2024-07-15,07,15,01,15,2.329487946,2.252102726,2.18307902,2.227447141,1.077309243,1.927365837,57,FALSE,,FALSE,,2024-07-15 01:15,2024-07-15 01:15:00,,2.329487946,1.927365837,,0.14491563,2.184572316
HW,001m,2024-07-15,07,15,01,16,2.199156609,2.23206546,2.234499714,2.204394642,1.112523028,1.931798057,56,FALSE,,FALSE,,2024-07-15 01:16,2024-07-15 01:16:00,,2.199156609,1.931798057,,0.14837078,2.050785828
HW,001m,2024-07-15,07,15,01,17,2.262716849,2.330937041,2.274304844,2.235377709,1.107440417,1.929718057,56,FALSE,,FALSE,,2024-07-15 01:17,2024-07-15 01:17:00,,2.262716849,1.929718057,,0.151825931,2.110890919
HW,001m,2024-07-15,07,15,01,18,2.167964783,2.109986024,2.20961077,2.21376205,1.085688644,1.930637611,56,FALSE,,FALSE,,2024-07-15 01:18,2024-07-15 01:18:00,,2.167964783,1.930637611,,0.155281081,2.012683702
HW,001m,2024-07-15,07,15,01,19,1.934673192,2.025830383,2.120707943,2.195259421,1.056566059,1.929852331,56,FALSE,,FALSE,,2024-07-15 01:19,2024-07-15 01:19:00,,1.934673192,1.929852331,,0.158736231,1.775936961
HW,001m,2024-07-15,07,15,01,20,2.189743091,2.088504445,2.052888957,2.162064501,1.064554154,1.928275825,57,FALSE,,FALSE,,2024-07-15 01:20,2024-07-15 01:20:00,,2.189743091,1.928275825,,0.162191381,2.02755171
HW,001m,2024-07-15,07,15,01,21,2.105961484,2.185404996,2.125861463,2.152315419,1.059146076,1.93132553,56,FALSE,,FALSE,,2024-07-15 01:21,2024-07-15 01:21:00,,2.105961484,1.93132553,,0.165646531,1.940314953
HW,001m,2024-07-15,07,15,01,22,1.974265738,1.938775586,2.107760504,2.095325784,1.03562278,1.928781712,57,FALSE,,FALSE,,2024-07-15 01:22,2024-07-15 01:22:00,,1.974265738,1.928781712,,0.169101681,1.805164056
HW,001m,2024-07-15,07,15,01,23,2.396323304,2.272744999,2.065745665,2.094825593,1.025904887,1.930911012,56,FALSE,,FALSE,,2024-07-15 01:23,2024-07-15 01:23:00,,2.396323304,1.930911012,,0.172556832,2.223766472
HW,001m,2024-07-15,07,15,01,24,2.35073486,2.409445595,2.277176061,2.157143791,1.082791518,1.932537972,57,FALSE,,FALSE,,2024-07-15 01:24,2024-07-15 01:24:00,,2.35073486,1.932537972,,0.176011982,2.174722878
HW,001m,2024-07-15,07,15,01,25,2.340226369,2.336924425,2.372026401,2.222500686,1.140714049,1.935033751,57,FALSE,,FALSE,,2024-07-15 01:25,2024-07-15 01:25:00,,2.340226369,1.935033751,,0.179467132,2.160759237
HW,001m,2024-07-15,07,15,01,26,2.659221369,2.498796393,2.38155661,2.259207168,1.142588621,1.932710075,56,FALSE,,FALSE,,2024-07-15 01:26,2024-07-15 01:26:00,,2.659221369,1.932710075,,0.182922282,2.476299087
HW,001m,2024-07-15,07,15,01,27,2.786084132,2.801596237,2.591303223,2.415705563,1.19976635,1.93542316,57,FALSE,,FALSE,,2024-07-15 01:27,2024-07-15 01:27:00,,2.786084132,1.93542316,,0.186377432,2.599706699
HW,001m,2024-07-15,07,15,01,28,3.070653008,3.121178927,2.901251925,2.593130158,1.210973971,1.935036036,56,FALSE,,FALSE,,2024-07-15 01:28,2024-07-15 01:28:00,,3.070653008,1.935036036,,0.189832582,2.880820425
HW,001m,2024-07-15,07,15,01,29,2.648869636,2.657169236,2.892209339,2.661149927,1.208677756,1.935724413,56,FALSE,,FALSE,,2024-07-15 01:29,2024-07-15 01:29:00,,2.648869636,1.935724413,,0.193287733,2.455581903
HW,001m,2024-07-15,07,15,01,30,2.509541947,2.564272732,2.674883425,2.711751299,1.217325937,1.93641839,56,FALSE,,FALSE,,2024-07-15 01:30,2024-07-15 01:30:00,,2.509541947,1.93641839,,0.196742883,2.312799064
HW,001m,2024-07-15,07,15,01,31,2.692036677,2.588825464,2.57135418,2.738058849,1.199599188,1.93750883,58,FALSE,,FALSE,,2024-07-15 01:31,2024-07-15 01:31:00,,2.692036677,1.93750883,,0.200198033,2.491838644
HW,001m,2024-07-15,07,15,01,32,2.824115864,2.873810224,2.723003169,2.765322836,1.222608254,1.9342403,55,FALSE,,FALSE,,2024-07-15 01:32,2024-07-15 01:32:00,,2.824115864,1.9342403,,0.203653183,2.620462681
HW,001m,2024-07-15,07,15,01,33,2.350244763,2.420930788,2.716511216,2.665246289,1.141358034,1.936708592,57,FALSE,,FALSE,,2024-07-15 01:33,2024-07-15 01:33:00,,2.350244763,1.936708592,,0.207108333,2.14313643
HW,001m,2024-07-15,07,15,01,34,2.91244508,2.677713846,2.518606949,2.615026685,1.208937109,1.935515595,56,FALSE,,FALSE,,2024-07-15 01:34,2024-07-15 01:34:00,,2.91244508,1.935515595,,0.210563484,2.701881597
HW,001m,2024-07-15,07,15,01,35,2.683827255,2.830149035,2.700941673,2.676611023,1.211543997,1.934855122,56,FALSE,,FALSE,,2024-07-15 01:35,2024-07-15 01:35:00,,2.683827255,1.934855122,,0.214018634,2.469808621
HW,001m,2024-07-15,07,15,01,36,2.26116677,2.345842817,2.68883685,2.662085585,1.147075031,1.936635827,57,FALSE,,FALSE,,2024-07-15 01:36,2024-07-15 01:36:00,,2.26116677,1.936635827,,0.217473784,2.043692986
HW,001m,2024-07-15,07,15,01,37,2.611203154,2.557121193,2.458563444,2.570766477,1.171411785,1.935352169,56,FALSE,,FALSE,,2024-07-15 01:37,2024-07-15 01:37:00,,2.611203154,1.935352169,,0.220928934,2.39027422
HW,001m,2024-07-15,07,15,01,38,2.36305623,2.379092685,2.452909631,2.556561006,1.17492136,1.936395951,56,FALSE,,FALSE,,2024-07-15 01:38,2024-07-15 01:38:00,,2.36305623,1.936395951,,0.224384084,2.138672146
HW,001m,2024-07-15,07,15,01,39,2.22067449,2.293487434,2.388612128,2.519122296,1.150532744,1.93527174,58,FALSE,,FALSE,,2024-07-15 01:39,2024-07-15 01:39:00,,2.22067449,1.93527174,,0.227839234,1.992835255
HW,001m,2024-07-15,07,15,01,40,2.502549107,2.413984851,2.316166583,2.403175893,1.153422153,1.936440088,56,FALSE,,FALSE,,2024-07-15 01:40,2024-07-15 01:40:00,,2.502549107,1.936440088,,0.231294385,2.271254723
HW,001m,2024-07-15,07,15,01,41,2.413937474,2.518914999,2.449035994,2.42348704,1.128317067,1.934768972,57,FALSE,,FALSE,,2024-07-15 01:41,2024-07-15 01:41:00,,2.413937474,1.934768972,,0.234749535,2.179187939
HW,001m,2024-07-15,07,15,01,42,2.62439891,2.546650431,2.534895595,2.433038672,1.147109935,1.932442637,56,FALSE,,FALSE,,2024-07-15 01:42,2024-07-15 01:42:00,,2.62439891,1.932442637,,0.238204685,2.386194225
HW,001m,2024-07-15,07,15,01,43,2.721287908,2.721359316,2.590699613,2.478506106,1.139790353,1.935514292,56,FALSE,,FALSE,,2024-07-15 01:43,2024-07-15 01:43:00,,2.721287908,1.935514292,,0.241659835,2.479628073
HW,001m,2024-07-15,07,15,01,44,2.494752604,2.526687722,2.626080053,2.527404556,1.144612926,1.933142829,56,FALSE,,FALSE,,2024-07-15 01:44,2024-07-15 01:44:00,,2.494752604,1.933142829,,0.245114985,2.249637619
HW,001m,2024-07-15,07,15,01,45,2.663598422,2.54302434,2.552890203,2.573320955,1.135604637,1.935215278,56,FALSE,,FALSE,,2024-07-15 01:45,2024-07-15 01:45:00,,2.663598422,1.935215278,,0.248570135,2.415028287
HW,001m,2024-07-15,07,15,01,46,2.272171852,2.377561038,2.500832925,2.547707548,1.133229405,1.936001415,57,FALSE,,FALSE,,2024-07-15 01:46,2024-07-15 01:46:00,,2.272171852,1.936001415,,0.252025286,2.020146566
HW,001m,2024-07-15,07,15,01,47,2.385572782,2.473932974,2.427629917,2.530589551,1.169028017,1.936004654,56,FALSE,,FALSE,,2024-07-15 01:47,2024-07-15 01:47:00,,2.385572782,1.936004654,,0.255480436,2.130092346
HW,001m,2024-07-15,07,15,01,48,2.449479603,2.331830502,2.372836093,2.461411164,1.135631771,1.935160945,56,FALSE,,FALSE,,2024-07-15 01:48,2024-07-15 01:48:00,,2.449479603,1.935160945,,0.258935586,2.190544017
HW,001m,2024-07-15,07,15,01,49,2.993659108,2.910354399,2.556947929,2.503659562,1.198162523,1.93656204,56,FALSE,,FALSE,,2024-07-15 01:49,2024-07-15 01:49:00,,2.993659108,1.93656204,,0.262390736,2.731268371
HW,001m,2024-07-15,07,15,01,50,2.70706121,2.755503175,2.796417704,2.558406439,1.153955281,1.936735509,56,FALSE,,FALSE,,2024-07-15 01:50,2024-07-15 01:50:00,,2.70706121,1.936735509,,0.265845886,2.441215324
HW,001m,2024-07-15,07,15,01,51,2.266849689,2.375640944,2.663859818,2.566848191,1.126029864,1.935363453,56,FALSE,,FALSE,,2024-07-15 01:51,2024-07-15 01:51:00,,2.266849689,1.935363453,,0.269301036,1.997548652
HW,001m,2024-07-15,07,15,01,52,2.520333352,2.360558361,2.411713766,2.551875469,1.146527046,1.937788803,57,FALSE,,FALSE,,2024-07-15 01:52,2024-07-15 01:52:00,,2.520333352,1.937788803,,0.272756187,2.247577165
HW,001m,2024-07-15,07,15,01,53,2.788002561,2.774158755,2.502536565,2.619347241,1.184118268,1.93575177,56,FALSE,,FALSE,,2024-07-15 01:53,2024-07-15 01:53:00,,2.788002561,1.93575177,,0.276211337,2.511791225
HW,001m,2024-07-15,07,15,01,54,2.509818465,2.544617418,2.641499232,2.58566166,1.191742856,1.934709353,57,FALSE,,FALSE,,2024-07-15 01:54,2024-07-15 01:54:00,,2.509818465,1.934709353,,0.279666487,2.230151978
